"Table 7.1 Finished Admission Episodes with a primary diagnosis of obesity, by gender, 2002/03 to 2012/13",,,,,,,,,,,
"Table 7.5 Finished Admission Episodes with a primary or secondary diagnosis of obesity, by age group, 2002/03 to 2012/13",,,,,,,,,,,
,,,,,,,,,,,
England,,,,,,,,,Numbers,,
,Total,Under 16,16 to 24,25 to 34,35 to 44,45 to 54,55 to 64,65 to74,75 and over,,
,,,,,,,,,,,
2002/03,"29,237","1,117",912,"2,288","4,371","5,661","6,721","5,391","2,738",,
2003/04,"33,546","1,355","1,026","2,449","4,845","6,452","7,790","6,432","3,175",,
2004/05,"40,741","1,506","1,457","3,449","5,953","7,424","9,086","7,813","4,036",,
2005/06,"52,019","1,727","1,717","4,252","7,401","9,858","12,146","10,056","4,840",,
2006/07,"67,211","1,896","2,316","5,319","9,961","12,922","15,882","12,571","6,296",,
2007/08,"80,914","2,104","3,169","7,218","12,101","15,683","18,489","14,496","7,512",,
2008/09,"102,987","2,229","4,326","9,899","15,508","19,971","23,136","18,234","9,531",,
2009/10,"142,219","2,400","6,609","15,490","21,344","27,641","30,884","24,294","13,399",,
2010/11,"211,783","2,762","12,042","26,965","30,606","39,258","43,754","36,056","20,056",,
2011/12,"266,666","2,824","16,016","37,060","37,098","47,514","53,209","45,949","26,989",,
2012/13,"292,404","3,115","18,849","43,681","39,627","51,364","55,676","50,262","29,822",,
,,,,,,,,,,,
"1.  A finished admission episode (FAE) is the first period of inpatient care under one consultant within one healthcare provider. FAEs are counted against the year in which the admission episode finishes. Admissions do not represent the number of inpatients, as a person may have more than one admission within the year.",,,,,,,,,,,
"2.  The primary diagnosis is the first of up to 20 (14 from 2002/03 to 2006/07 and 7 prior to 2002/03) diagnosis fields in the Hospital Episode Statistics (HES) data set and provides the main reason why the patient was admitted to hospital. As well as the primary diagnosis, there are up to 19 (13 from 2002/03 to 2006/07 and 6 prior to 2002/03) secondary diagnosis fields in Hospital Episode Statistics (HES) that show other diagnoses relevant to the episode of care. These figures represent the number of episodes where the diagnosis was recorded in any of the 20 primary and secondary diagnosis fields in the record. Each episode is only counted once in each count, even if the diagnosis is recorded in more than one diagnosis field of the record.",,,,,,,,,,,
3.  ICD-10 Codes: E66 - Obesity.,,,,,,,,,,,
4.  Figures have not been adjusted for shortfalls in data.,,,,,,,,,,,
"5.  Counts include people resident in English Strategic Health Authorites (SHAs) only, including admissions where the SHA of residence was England but not further specified and excludes admissions where the SHA of residence was unknown.",,,,,,,,,,,
6.  Total includes admissions where the age was unknown or not specified.,,,,,,,,,,,
7.The quality and coverage of HES data have improved over time. These improvements in information submitted by the NHS have been particularly marked in the earlier years and need to be borne in mind when analysing time series. Some of the increase in figures for later years (particularly 2006-07 onwards) may be due to the improvement in the coverage of independent sector activity. Changes in NHS practice also need to be borne in mind when analysing time series. This may be particularly relevant for admissions with a primary or secondary diagnosis where some of the increases may be attributable to changes in recording practice. Further years’ data may be required to aid interpretation of these statistics.,,,,,,,,,,,
"8. The data presented in this report are for inpatients only, so does not reflect all hospital activity. This should be considered when interpreting the data as practice may vary over time and between regions. In particular, practices vary between hospitals as to whether some bariatric procedures are carried out in outpatient or inpatient settings. This may particularly be the case for maintenance procedures. OPCS-4.5 introduced a specific code for maintenance of gastric band. OPCS-4.5 was introduced in 2009/10. Inconsistencies in the use of this code may have contributed to the decrease seen this year and the increases seen from 2009/10. This is apparent for one hospital site in particular, Royal Derby Hospital, which has an impact (mainly) on the figures for East Midlands Strategic Health Authority and the residing Primary Care Trusts, but also the national figures. See Appendix A for further detail on HES.  ",,,,,,,,,,,
,,,,,,,,,,,
Source:,,,,,,,,,,,
"Hospital Episode Statistics (HES), Health and Social Care Information Centre.",,,,,,,,,,,
,,,,,,,,,,,
"Copyright © 2014. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Table 7.6 Finished Admission Episodes with a primary or secondary diagnosis of obesity, by Government Office Region (GOR) of residence, Strategic Health Authority (SHA) of residence, Primary Care Trust (PCT) of residence and gender, 2012/13",,,,,,,,,,,
,,,,,,,,,,,
England,,,,,,,,,Numbers,,
"Region, SHA & PCT Code",ONS Alpha numeric code,"Region, SHA & PCT Name",Admissions,,,,"Admissions per 100,000 of population",,,,
,,,Total,Male,Female,,Total7,Male,Female,,
,,,,,,,,,,,
,,England,"292,404","99,579","192,795",,551,381,715,,
,,,,,,,,,,,
A,E12000001,North East,"17,409","6,294","11,115",,670,496,838,,
Q30,E18000001,North East,"17,409","6,294","11,115",,670,496,838,,
5ND,E16000085,County Durham PCT,"2,240",850,"1,390",,437,338,531,,
5J9,E16000041,Darlington PCT,283,99,184,,268,192,340,,
5KF,E16000050,Gateshead PCT,"1,229",396,833,,613,404,814,,
5D9,E16000019,Hartlepool PCT,484,163,321,,526,364,678,,
5KM,E16000053,Middlesbrough PCT,422,170,252,,305,251,357,,
5D7,E16000017,Newcastle PCT,"2,300",815,"1,485",,824,582,"1,067",,
5D8,E16000018,North Tyneside PCT,"2,692",973,"1,719",,"1,338","1,002","1,651",,
TAC,E17000001,Northumberland Care Trust,"4,377","1,638","2,739",,"1,384","1,062","1,690",,
5QR,E16000146,Redcar & Cleveland PCT,416,141,275,,308,215,396,,
5KG,E16000051,South Tyneside PCT,649,257,392,,438,359,512,,
5.00E+01,E16000020,Stockton-On-Tees Teaching PCT,796,262,534,,415,278,547,,
5KL,E16000052,Sunderland Teaching PCT,"1,521",530,991,,552,396,701,,
,,,,,,,,,,,
B,E12000002,North West,"41,358","13,913","27,441",,586,401,765,,
Q31,E18000002,North West ,"41,358","13,913","27,441",,586,401,765,,
5HG,E16000032,"Ashton, Leigh & Wigan PCT","1,943",478,"1,465",,611,302,915,,
TAP,E17000006,Blackburn with Darwen Teaching Care Trust Plus,865,298,567,,586,405,766,,
5HP,E16000033,Blackpool PCT,602,242,360,,424,347,498,,
5HQ,E16000148,Bolton PCT,936,404,532,,338,295,379,,
5JX,E16000043,Bury PCT,727,340,387,,392,375,409,,
5NP,E16000095,Central & Eastern Cheshire PCT,"2,496",446,"2,050",,538,196,866,,
5NG,E16000088,Central Lancashire PCT,"4,407","1,386","3,019",,943,599,"1,279",,
5NE,E16000086,Cumbria PCT,"2,489",811,"1,678",,498,330,661,,
5NH,E16000089,East Lancashire PCT,"1,952",694,"1,258",,510,369,647,,
5NM,E16000093,Halton & St. Helens PCT,"2,208",699,"1,509",,733,474,982,,
5NQ,E16000096,"Heywood, Middleton & Rochdale PCT",921,392,529,,435,378,489,,
5J4,E16000038,Knowsley PCT,"1,387",417,970,,951,602,"1,266",,
5NL,E16000092,Liverpool PCT,"3,201",936,"2,265",,687,406,963,,
5NT,E16000149,Manchester PCT,"2,180",685,"1,495",,433,271,599,,
5NF,E16000087,North Lancashire PCT,"1,213",441,771,,377,283,465,,
5J5,E16000039,Oldham PCT,853,360,493,,379,326,429,,
5F5,E16000025,Salford PCT,"1,839",648,"1,191",,784,553,"1,015",,
5NJ,E16000090,Sefton PCT,"2,343",716,"1,627",,855,545,"1,140",,
5F7,E16000026,Stockport PCT,"1,264",465,799,,446,336,552,,
5LH,E16000062,Tameside & Glossop PCT,"1,879",647,"1,232",,743,521,956,,
5NR,E16000097,Trafford PCT,678,246,432,,299,221,373,,
5J2,E16000037,Warrington PCT,721,316,405,,356,314,396,,
5NN,E16000094,Western Cheshire PCT,980,378,602,,415,330,496,,
5NK,E16000091,Wirral PCT,"3,466","1,554","1,911",,"1,084","1,010","1,151",,
,,,,,,,,,,,
D,E12000003,Yorkshire and the Humber ,"27,529","8,813","18,715",,521,339,697,,
Q32,E18000003,Yorkshire and the Humber ,"27,529","8,813","18,715",,521,339,697,,
5JE,E16000042,Barnsley PCT,853,354,499,,368,311,423,,
5NY,E16000102,Bradford & Airedale PCT,"7,805","2,600","5,205",,"1,492","1,010","1,959",,
5J6,E16000040,Calderdale PCT,"1,123",326,797,,550,327,763,,
5N5,E16000078,Doncaster PCT,"1,105",443,662,,365,297,432,,
5NW,E16000100,East Riding of Yorkshire PCT,938,407,531,,280,249,310,,
5NX,E16000101,Hull PCT,587,244,343,,229,190,268,,
5N2,E16000075,Kirklees PCT,"1,571",514,"1,057",,371,246,494,,
5N1,E16000074,Leeds PCT,"3,184",870,"2,314",,424,236,605,,
TAN,E17000005,North East Lincolnshire PCT,"1,162",263,899,,721,333,"1,094",,
5EF,E16000021,North Lincolnshire PCT,469,157,312,,287,195,376,,
5NV,E16000099,North Yorkshire & York PCT,"2,383",938,"1,444",,298,239,355,,
5H8,E16000031,Rotherham PCT,"1,431",409,"1,022",,555,323,779,,
5N4,E16000077,Sheffield PCT,"4,116",958,"3,158",,746,352,"1,131",,
5N3,E16000076,Wakefield District PCT,798,328,470,,244,205,283,,
,,,,,,,,,,,
E,E12000004,East Midlands,"19,256","6,058","13,198",,424,271,574,,
Q33,E18000004,East Midlands,"19,256","6,058","13,198",,424,271,574,,
5ET,E16000023,Bassetlaw PCT,428,203,225,,379,362,395,,
5N7,E16000080,Derby City PCT,"2,524",187,"2,337",,"1,014",152,"1,858",,
5N6,E16000079,Derbyshire County PCT,"3,401",859,"2,542",,461,237,678,,
5PC,E16000113,Leicester City PCT,847,305,542,,257,187,325,,
5PA,E16000112,Leicestershire County & Rutland PCT,"1,750",699,"1,051",,254,205,302,,
5N9,E16000082,Lincolnshire PCT,"4,246","1,517","2,729",,592,434,742,,
5PD,E16000114,Northampton PCT,"1,868",696,"1,172",,269,203,333,,
5EM,E16000022,Nottingham City PCT,"1,118",434,684,,368,283,454,,
5N8,E16000081,Nottinghamshire County PCT,"2,886","1,074","1,812",,428,324,529,,
,,,,,,,,,,,
F,E12000005,West Midlands,"40,394","12,268","28,125",,720,443,990,,
Q34,E18000005,West Midlands ,"40,394","12,268","28,125",,720,443,990,,
5PG,E16000117,Birmingham East & North PCT,"1,467",402,"1,065",,345,193,491,,
5MD,E16000070,Coventry Teaching PCT,"4,777","1,453","3,324",,"1,507",921,"2,089",,
5PE,E16000115,Dudley PCT,"3,329",893,"2,436",,"1,063",580,"1,529",,
5MX,E16000073,Heart of Birmingham Teaching PCT,"2,058",508,"1,550",,699,344,"1,057",,
5CN,E16000015,Herefordshire PCT,530,290,240,,289,321,257,,
5PH,E16000118,North Staffordshire PCT,588,156,432,,276,149,401,,
5PF,E16000116,Sandwell PCT,"2,552",774,"1,778",,826,509,"1,133",,
5M2,E16000065,Shropshire County PCT,"1,271",365,906,,414,240,585,,
5QW,E17000004,Solihull PCT ,466,158,308,,225,157,289,,
5M1,E16000064,South Birmingham PCT,"2,980",579,"2,401",,841,336,"1,319",,
5PK,E16000120,South Staffordshire PCT,"3,346","1,115","2,231",,532,358,704,,
5PJ,E16000119,Stoke on Trent PCT,949,230,719,,369,180,558,,
5MK,E16000071,Telford & Wrekin PCT,916,201,715,,549,243,849,,
5M3,E16000066,Walsall Teaching PCT,"2,024",626,"1,398",,751,473,"1,020",,
5PM,E16000122,Warwickshire PCT,"4,510","1,619","2,891",,825,601,"1,044",,
5MV,E16000072,Wolverhampton City PCT,"1,878",590,"1,288",,752,477,"1,021",,
5PL,E16000121,Worcestershire PCT,"6,753","2,309","4,443",,"1,192",828,"1,545",,
,,,,,,,,,,,
G,E12000006,East of England,"35,377","13,374","22,001",,603,464,739,,
Q35,E18000006,East of England ,"35,377","13,374","22,001",,603,464,739,,
5P2,E16000104,Bedfordshire PCT,"2,123",881,"1,242",,513,431,594,,
5PP,E16000124,Cambridgeshire PCT,"3,313","1,576","1,737",,532,508,557,,
5PR,E16000126,Great Yarmouth & Waveney PCT,"1,571",631,940,,738,607,863,,
5QV,E16000150,Hertfordshire PCT,"9,610","3,476","6,132",,858,633,"1,074",,
5GC,E16000029,Luton PCT,"1,991",627,"1,364",,978,613,"1,346",,
5PX,E16000130,Mid Essex PCT,"1,320",429,891,,352,232,467,,
5PQ,E16000125,Norfolk PCT,"4,054","1,504","2,550",,532,403,656,,
5PW,E16000129,North East Essex PCT,904,426,478,,290,280,299,,
5PN,E16000123,Peterborough PCT,781,329,452,,423,360,485,,
5P1,E16000103,South East Essex PCT,"1,155",456,699,,334,270,396,,
5PY,E16000131,South West Essex PCT,"2,934",867,"2,067",,721,436,992,,
5PT,E16000127,Suffolk PCT,"3,818","1,497","2,321",,621,491,749,,
5PV,E16000128,West Essex PCT,"1,803",675,"1,128",,623,478,759,,
,,,,,,,,,,,
H,E12000007,London,"37,892","13,281","24,606",,462,328,593,,
Q36,E18000007,London ,"37,892","13,281","24,606",,462,328,593,,
5C2,E16000009,Barking & Dagenham PCT,919,311,608,,491,342,632,,
5A9,E16000006,Barnet PCT,"1,283",540,743,,359,311,404,,
TAK,E17000002,Bexley Care Trust,849,302,547,,365,269,453,,
5K5,E16000045,Brent Teaching PCT,"3,883","1,229","2,654",,"1,244",782,"1,712",,
5A7,E16000004,Bromley PCT,834,390,443,,269,261,274,,
5K7,E16000047,Camden PCT,726,265,461,,330,245,412,,
5C3,E16000010,City & Hackney Teaching PCT,"1,163",404,759,,457,319,594,,
5K9,E16000049,Croydon PCT,"1,606",526,"1,080",,440,297,575,,
5HX,E16000035,Ealing PCT,"1,819",692,"1,127",,536,407,665,,
5C1,E16000008,Enfield PCT,"1,464",581,883,,466,383,544,,
5A8,E16000005,Greenwich Teaching PCT,"1,019",310,708,,399,244,551,,
5H1,E16000030,Hammersmith & Fulham PCT,555,231,324,,304,259,347,,
5C9,E16000013,Haringey Teaching PCT,"1,276",408,868,,499,322,674,,
5K6,E16000046,Harrow PCT,"3,017","1,050","1,967",,"1,254",883,"1,617",,
5A4,E16000002,Havering PCT,955,420,535,,401,367,434,,
5AT,E16000007,Hillingdon PCT,"1,798",577,"1,221",,653,422,880,,
5HY,E16000036,Hounslow PCT,637,269,368,,250,210,290,,
5K8,E16000048,Islington PCT,"1,181",399,782,,573,392,749,,
5LA,E16000056,Kensington & Chelsea PCT,342,138,204,,216,177,254,,
5A5,E16000003,Kingston PCT,468,199,269,,292,254,328,,
5LD,E16000058,Lambeth PCT,"1,052",329,723,,346,217,474,,
5LF,E16000060,Lewisham PCT,806,273,533,,291,201,377,,
5C5,E16000012,Newham PCT,"1,542",425,"1,117",,497,262,753,,
5NA,E16000083,Redbridge PCT,"1,360",502,857,,483,360,604,,
5M6,E16000067,Richmond & Twickenham PCT,315,139,176,,168,152,183,,
5LE,E16000059,Southwark PCT,"1,061",351,708,,367,245,486,,
5M7,E16000068,Sutton & Merton PCT,"1,557",485,"1,072",,398,253,537,,
5C4,E16000011,Tower Hamlets PCT,636,232,404,,248,176,326,,
5NC,E16000084,Waltham Forest PCT,"2,361",758,"1,603",,909,583,"1,235",,
5LG,E16000061,Wandsworth PCT,760,283,477,,247,190,301,,
5LC,E16000057,Westminster PCT,648,263,385,,295,235,358,,
,,,,,,,,,,,
J,E12000008,South East,"36,779","13,280","23,482",,425,312,534,,
Q37,E18000008,South East Coast ,"17,813","7,130","10,671",,398,326,466,,
5LQ,E16000063,Brighton & Hove City PCT,"1,468",527,941,,538,387,688,,
5P7,E16000109,East Sussex Downs & Weald PCT,"1,510",603,907,,439,364,509,,
5QA,E16000132,Eastern & Coastal Kent PCT,"2,152",927,"1,217",,283,250,312,,
5P8,E16000110,Hastings & Rother PCT,"1,097",438,659,,598,496,693,,
5L3,E16000055,Medway PCT,"1,644",672,972,,621,512,728,,
5P5,E16000107,Surrey PCT,"2,502",941,"1,561",,223,171,273,,
5P9,E16000111,West Kent PCT,"2,246","1,043","1,199",,318,300,333,,
5P6,E16000108,West Sussex PCT,"5,183","1,977","3,206",,641,505,768,,
,,,,,,,,,,,
Q38,E18000009,South Central ,"18,966","6,150","12,811",,454,298,606,,
5QG,E16000137,Berkshire East PCT,"2,758",884,"1,874",,670,433,904,,
5QF,E16000136,Berkshire West PCT,"1,886",631,"1,255",,406,273,538,,
5QD,E16000134,Buckinghamshire PCT,"2,005",798,"1,202",,385,312,454,,
5QC,E16000133,Hampshire PCT,"4,909","1,622","3,287",,371,250,487,,
5QT,E16000147,Isle of Wight PCT,483,197,286,,349,292,403,,
5CQ,E16000016,Milton Keynes PCT,"1,156",363,793,,453,287,614,,
5QE,E16000135,Oxfordshire PCT,"2,465",720,"1,745",,392,231,549,,
5FE,E16000027,Portsmouth City Teaching PCT,952,332,620,,463,320,610,,
5L1,E16000054,Southampton City PCT,"2,351",601,"1,750",,997,504,"1,500",,
,,,,,,,,,,,
K,E12000009,South West,"36,338","12,260","24,078",,686,472,891,,
Q39,E18000010,South West ,"36,338","12,260","24,078",,686,472,891,,
5FL,E16000028,Bath & North East Somerset PCT,"1,067",345,722,,608,401,806,,
5QN,E16000143,Bournemouth & Poole PCT,"1,257",419,838,,379,255,500,,
5QJ,E16000139,Bristol PCT,"2,609",747,"1,862",,609,350,867,,
5QP,E16000144,Cornwall & Isles Of Scilly PCT,"7,388","2,462","4,926",,"1,378",948,"1,782",,
5QQ,E16000145,Devon PCT,"5,367","2,047","3,320",,718,564,863,,
5QM,E16000142,Dorset PCT,"1,453",575,878,,351,285,414,,
5QH,E16000138,Gloucestershire PCT,"1,369",590,779,,229,201,255,,
5M8,E16000069,North Somerset PCT,"1,221",387,834,,601,392,799,,
5F1,E16000024,Plymouth Teaching PCT,"4,851","1,535","3,316",,"1,891","1,207","2,563",,
5QL,E16000141,Somerset PCT,"3,565",905,"2,660",,671,349,977,,
5A3,E16000001,South Gloucestershire PCT,"1,396",530,866,,530,406,653,,
5K3,E16000044,Swindon PCT,834,333,501,,388,310,467,,
TAL,E17000003,Torbay Care Trust,"1,243",478,765,,947,756,"1,125",,
5QK,E16000140,Wiltshire PCT,"2,730",911,"1,819",,576,389,758,,
,,,,,,,,,,,
"1.  A finished admission episode (FAE) is the first period of inpatient care under one consultant within one healthcare provider. FAEs are counted against the year in which the admission episode finishes. Admissions do not represent the number of inpatients, as a person may have more than one admission within the year.",,,,,,,,,,,
"2.  The primary diagnosis is the first of up to 20 (14 from 2002/03 to 2006/07 and 7 prior to 2002/03) diagnosis fields in the Hospital Episode Statistics (HES) data set and provides the main reason why the patient was admitted to hospital. As well as the primary diagnosis, there are up to 19 (13 from 2002/03 to 2006/07 and 6 prior to 2002/03) secondary diagnosis fields in Hospital Episode Statistics (HES) that show other diagnoses relevant to the episode of care. These figures represent the number of episodes where the diagnosis was recorded in any of the 20 primary and secondary diagnosis fields in the record. Each episode is only counted once in each count, even if the diagnosis is recorded in more than one diagnosis field of the record.",,,,,,,,,,,
3.  ICD-10 Codes: E66 - Obesity.,,,,,,,,,,,
4.  Figures have not been adjusted for shortfalls in data.,,,,,,,,,,,
"5.  Counts include people resident in English Strategic Health Authorites (SHAs) only, including admissions where the SHA of residence was England but not further specified and excludes admissions where the SHA of residence was unknown.",,,,,,,,,,,
"6.  Office for National Statistics (ONS) estimated resident population mid-2011 figures have been used to calculate admissions per 100,000 population.  Information on ONS population data is available at: ",,,,,,,,,,,
http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-england-and-wales/mid-2011--2011-census-based-/index.html,,,,,,,,,,,
7. Totals include admissions where the gender was unknown or not specified.,,,,,,,,,,,
"8. The data presented in this report are for inpatients only, so does not reflect all hospital activity. This should be considered when interpreting the data as practice may vary over time and between regions. In particular, practices vary between hospitals as to whether some bariatric procedures are carried out in outpatient or inpatient settings. This may particularly be the case for maintenance procedures. OPCS-4.5 introduced a specific code for maintenance of gastric band. OPCS-4.5 was introduced in 2009/10. Inconsistencies in the use of this code may have contributed to the decrease seen this year and the increases seen from 2009/10. This is apparent for one hospital site in particular, Royal Derby Hospital, which has an impact (mainly) on the figures for East Midlands Strategic Health Authority and the residing Primary Care Trusts, but also the national figures. See Appendix A for further detail on HES.  ",,,,,,,,,,,
"9. PCT of residence is based on patient postcode of residence. SHA and PCT geographical areas of responsibility are not all coterminous, some PCTs cross SHA boundaries. Postcode of residence is not used to assign patients to SHA of responsibility. PCT data has been aggregated to the SHA of responsibility.",,,,,,,,,,,
,,,,,,,,,,,
Source:,,,,,,,,,,,
"Hospital Episode Statistics (HES), Health and Social Care Information Centre.",,,,,,,,,,,
,,,,,,,,,,,
"Copyright © 2014. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Table 7.7 Finished Consultant Episodes with a primary diagnosis of obesity and a main or secondary procedure of 'Bariatric Surgery' by gender, 2002/03 to 2012/13",,,,,,,,,,,
,,,,,,,,,,,
England,,,Numbers,,,,,,,,
,Total,Male,Female,,,,,,,,
,,,,,,,,,,,
OPCS-4.2 procedure codes,,,,,,,,,,,
2002/03,345,65,280,,,,,,,,
2003/04,474,96,378,,,,,,,,
2004/05,744,137,603,,,,,,,,
2005/06,"1,038",200,808,,,,,,,,
,,,,,,,,,,,
2006/07 (OPCS-4.3 procedure codes),"1,951",381,"1,562",,,,,,,,
2007/08 (OPCS-4.4 procedure codes),"2,724",598,"2,126",,,,,,,,
2008/09 (OPCS-4.4 procedure codes),"4,221",969,"3,251",,,,,,,,
2009/10 (OPCS-4.5 procedure codes),"7,214","1,450","5,762",,,,,,,,
2010/11 (OPCS-4.5 procedure codes),"8,087","1,771","6,315",,,,,,,,
2011/12 (OPCS-4.6 procedure codes),"8,794","2,081","6,711",,,,,,,,
2012/13 (OPCS-4.6 procedure codes),"8,024","1,944","6,080",,,,,,,,
,,,,,,,,,,,
"1. A finished consultant episode (FCE) is a continuous period of admitted patient care under one consultant within one healthcare provider. FCEs are counted against the year in which they end. Figures do not represent the number of different patients, as a person may have more than one episode of care within the same stay in hospital or in different stays in the same year.",,,,,,,,,,,
2. The primary diagnosis is the first of up to 20 (14 from 2002-03 to 2006-07 and 7 prior to 2002-03) diagnosis fields in the Hospital Episode Statistics (HES) data set and provides the main reason why the patient was admitted to hospital.,,,,,,,,,,,
3. ICD-10 Codes: E66 - Obesity.,,,,,,,,,,,
"4. These figures represent the number of episodes where the procedure (or intervention) was recorded in any of the 24 (12 from 2002/03 to 2006/07 and 4 prior to 2002/03) operative procedure fields in a Hospital Episode Statistics (HES) record. A record is only included once in each count, even if the procedure is recorded in more than one operative procedure field of the record. Please note that more procedures are carried out than episodes with a main or secondary procedure.  For example, patients under going a ‘cataract operation’ would tend to have at least two procedures – removal of the faulty lens and the fitting of a new one – counted in a single episode.",,,,,,,,,,,
"5. The term 'bariatric surgery' is often used to define a group of procedures that can be performed to facilitate weight loss although these procedures can be performed for conditions other than weight loss.  It includes stomach stapling, gastric bypasses and sleeve gastrectomy. The procedures for tables 7.7 and 7.8  show the defined range of procedures when a corresponding main diagnosis of Obesity (ICD10-E66) is also present. Definition of codes can be found in Appendix B.",,,,,,,,,,,
"6. From 2012/13 the list of OPCS 4.6 codes used to define “bariatric surgery” has been amended in line with the methodology used by Health Resource Groups (HRGs) this is covered in more detail in the Methodological Change Note http://www.hscic.gov.uk/media/13556/Statistics-on-Obesity-Physical-Activity-and-Diet-England-2014/pdf/MethChange201402_SOPAD.pdf 
This definitional change has a minimal effect on previous years’ data; between 20 and 30 cases a year from 2009/10 onwards when OPCS 4.5 and 4.6 codes were used, following on from the introduction of a specific code for maintenance of gastric band in OPCS-4.5 in 2009/10. All OPCS-4.2, OPCS-4.3, OPCS-4.4, OPCS-4.5 and OPCS-4.6 procedure codes used to define bariatric surgery are described in Appendix B.",,,,,,,,,,,
