"Kent","1011","790"
"Birmingham","1011","595"
"Bradford","1011","570"
"Luton UA","1011","475"
"Hampshire","1011","435"
"Essex","1011","395"
"Suffolk","1011","330"
"Derbyshire","1011","325"
"Staffordshire","1011","280"
"Bury","1011","260"
"Solihull","1011","255"
"Somerset","1011","255"
"Liverpool","1011","250"
"Kirklees","1011","225"
"Northamptonshire","1011","220"
"Surrey","1011","215"
"Lancashire","1011","200"
"Salford","1011","195"
"Bolton","1011","190"
"North Yorkshire","1011","180"
"Sheffield","1011","180"
"Warwickshire","1011","180"
"Kingston upon Hull UA","1011","165"
"Warrington UA","1011","165"
"Wakefield","1011","155"
"Durham","1011","150"
"Tameside","1011","150"
"Windsor and Maidenhead UA","1011","150"
"Gloucestershire","1011","145"
"Dorset","1011","140"
"Poole UA","1011","130"
"Leicestershire","1011","125"
"Havering","1011","120"
"Leicester UA","1011","115"
"Nottingham UA","1011","115"
"Brent","1011","110"
"St. Helens","1011","110"
"Wigan","1011","100"
"Hertfordshire","1011","90"
"Sefton","1011","90"
"Sunderland","1011","90"
"Blackpool UA","1011","85"
"Ealing","1011","85"
"Peterborough UA","1011","85"
"Stoke-on-Trent UA","1011","85"
"Blackburn with Darwen UA","1011","80"
"Hackney","1011","80"
"Newcastle upon Tyne","1011","80"
"Stockport","1011","80"
"Torbay UA","1011","80"
"Westminster","1011","80"
"Bexley","1011","75"
"Herefordshire UA","1011","75"
"Knowsley","1011","75"
"Manchester","1011","75"
"North Tyneside","1011","75"
"Southwark","1011","75"
"Telford and the Wrekin UA","1011","75"
"Newham","1011","70"
"Shropshire","1011","70"
"Croydon","1011","65"
"Greenwich","1011","65"
"Islington","1011","65"
"South Tyneside","1011","65"
"North Lincolnshire UA","1011","60"
"Portsmouth UA","1011","60"
"Barnsley","1011","55"
"Cambridgeshire","1011","55"
"Cheshire West and Chester UA","1011","55"
"Derby UA","1011","55"
"Middlesbrough UA","1011","55"
"Redcar and Cleveland UA","1011","55"
"Rotherham","1011","55"
"Trafford","1011","55"
"West Sussex","1011","55"
"Buckinghamshire","1011","50"
"Cheshire East UA","1011","50"
"Gateshead","1011","50"
"Haringey","1011","50"
"Stockton-on-Tees UA","1011","50"
"Swindon UA","1011","50"
"Doncaster","1011","45"
"Reading UA","1011","45"
"West Berkshire UA","1011","45"
"Nottinghamshire","1011","40"
"South Gloucestershire UA","1011","40"
"Barnet","1011","35"
"Cumbria","1011","35"
"Darlington UA","1011","35"
"Enfield","1011","35"
"Hounslow","1011","35"
"Lewisham","1011","35"
"Norfolk","1011","35"
"North Somerset UA","1011","35"
"Rochdale","1011","35"
"Wirral","1011","35"
"Bracknell Forest UA","1011","30"
"Barking and Dagenham","1011","25"
"Hillingdon","1011","25"
"Isle of Wight UA","1011","25"
"Leeds","1011","25"
"Southend-on-Sea UA","1011","25"
"Tower Hamlets","1011","25"
"Waltham Forest","1011","25"
"Bath and North East Somerset UA","1011","20"
"Bournemouth UA","1011","20"
"Brighton and Hove UA","1011","20"
"Bristol UA","1011","20"
"Dudley","1011","20"
"East Sussex","1011","20"
"Milton Keynes UA","1011","20"
"North East Lincolnshire UA","1011","20"
"Sandwell","1011","20"
"Slough UA","1011","20"
"York UA","1011","20"
"Calderdale","1011","15"
"Kingston upon Thames","1011","15"
"Medway Towns UA","1011","15"
"East Riding of Yorkshire UA","1011","10"
"Harrow","1011","10"
"Merton","1011","10"
"Sutton","1011","10"
"Bromley","1011","5"
"Oldham","1011","5"
"Oxfordshire","1011","5"
"Redbridge","1011","5"
"Richmond upon Thames","1011","5"
"Rutland UA","1011","5"
"Wokingham UA","1011","5"
"Bedford UA","1011","0"
"Camden","1011","0"
"Central Bedfordshire UA","1011","0"
"City of London","1011","0"
"Cornwall","1011","0"
"Coventry","1011","0"
"Devon","1011","0"
"Halton UA","1011","0"
"Hammersmith and Fulham","1011","0"
"Hartlepool UA","1011","0"
"Isles of Scilly","1011","0"
"Kensington and Chelsea","1011","0"
"Lambeth","1011","0"
"Lincolnshire","1011","0"
"Northumberland","1011","0"
"Plymouth UA","1011","0"
"Southampton UA","1011","0"
"Thurrock UA","1011","0"
"Walsall","1011","0"
"Wandsworth","1011","0"
"Wiltshire","1011","0"
"Wolverhampton","1011","0"
"Worcestershire","1011","0"
"Sheffield","1112","495"
"Kent","1112","473"
"Luton UA","1112","447"
"Essex","1112","423"
"Birmingham","1112","360"
"Staffordshire","1112","317"
"Liverpool","1112","281"
"Hampshire","1112","259"
"Bury","1112","206"
"Northamptonshire","1112","206"
"East Sussex","1112","199"
"Gloucestershire","1112","197"
"Suffolk","1112","197"
"Greenwich","1112","195"
"Surrey","1112","191"
"Solihull","1112","165"
"Tameside","1112","161"
"Durham","1112","158"
"Lancashire","1112","156"
"Warrington UA","1112","152"
"Warwickshire","1112","149"
"Sandwell","1112","144"
"Stoke-on-Trent UA","1112","140"
"Camden","1112","136"
"Kingston upon Hull UA","1112","126"
"Somerset","1112","124"
"Leicester UA","1112","111"
"Poole UA","1112","109"
"Buckinghamshire","1112","105"
"Salford","1112","101"
"Blackpool UA","1112","100"
"Wakefield","1112","97"
"Nottingham UA","1112","95"
"Kirklees","1112","94"
"Bexley","1112","93"
"Barnsley","1112","89"
"Rotherham","1112","88"
"St. Helens","1112","88"
"Dorset","1112","87"
"Ealing","1112","87"
"Bradford","1112","85"
"North Tyneside","1112","84"
"Croydon","1112","80"
"Newham","1112","77"
"Windsor and Maidenhead UA","1112","77"
"Blackburn with Darwen UA","1112","76"
"Manchester","1112","76"
"Hackney","1112","75"
"Doncaster","1112","74"
"South Tyneside","1112","74"
"Bolton","1112","72"
"Havering","1112","71"
"Hertfordshire","1112","70"
"Westminster","1112","70"
"Sunderland","1112","69"
"Wigan","1112","68"
"Redcar and Cleveland UA","1112","67"
"Peterborough UA","1112","66"
"Leicestershire","1112","64"
"Lincolnshire","1112","61"
"Bristol UA","1112","59"
"West Sussex","1112","59"
"North Lincolnshire UA","1112","58"
"Southwark","1112","58"
"Telford and the Wrekin UA","1112","56"
"Norfolk","1112","55"
"Gateshead","1112","54"
"Shropshire","1112","54"
"Walsall","1112","54"
"Islington","1112","53"
"Reading UA","1112","53"
"Newcastle upon Tyne","1112","51"
"Torbay UA","1112","51"
"Medway Towns UA","1112","49"
"Middlesbrough UA","1112","48"
"Portsmouth UA","1112","47"
"Stockton-on-Tees UA","1112","47"
"Cheshire East UA","1112","44"
"Sefton","1112","44"
"Stockport","1112","44"
"Derby UA","1112","42"
"Trafford","1112","40"
"Swindon UA","1112","39"
"Bournemouth UA","1112","38"
"Knowsley","1112","38"
"Leeds","1112","38"
"Bath and North East Somerset UA","1112","37"
"Wirral","1112","36"
"North Somerset UA","1112","35"
"Isle of Wight UA","1112","33"
"Enfield","1112","32"
"Lewisham","1112","32"
"South Gloucestershire UA","1112","30"
"Harrow","1112","25"
"Hounslow","1112","25"
"Hillingdon","1112","24"
"Kingston upon Thames","1112","24"
"West Berkshire UA","1112","24"
"Cumbria","1112","23"
"Tower Hamlets","1112","23"
"Barnet","1112","22"
"Cheshire West and Chester UA","1112","21"
"Cornwall","1112","21"
"Rochdale","1112","21"
"Brighton and Hove UA","1112","20"
"Darlington UA","1112","19"
"Haringey","1112","19"
"Merton","1112","19"
"Slough UA","1112","17"
"Cambridgeshire","1112","16"
"York UA","1112","15"
"Dudley","1112","14"
"Coventry","1112","13"
"Derbyshire","1112","13"
"Calderdale","1112","12"
"Sutton","1112","11"
"Waltham Forest","1112","10"
"East Riding of Yorkshire UA","1112","9"
"Wokingham UA","1112","9"
"Barking and Dagenham","1112","8"
"Milton Keynes UA","1112","7"
"Oxfordshire","1112","7"
"Bracknell Forest UA","1112","6"
"North East Lincolnshire UA","1112","6"
"Kensington and Chelsea","1112","5"
"Redbridge","1112","5"
"Southend-on-Sea UA","1112","5"
"City of London","1112","3"
"North Yorkshire","1112","3"
"Rutland UA","1112","3"
"Wandsworth","1112","3"
"Halton UA","1112","1"
"Oldham","1112","1"
"Thurrock UA","1112","1"
"Bedford UA","1112","0"
"Brent","1112","0"
"Bromley","1112","0"
"Central Bedfordshire UA","1112","0"
"Devon","1112","0"
"Hammersmith and Fulham","1112","0"
"Hartlepool UA","1112","0"
"Herefordshire UA","1112","0"
"Isles of Scilly","1112","0"
"Lambeth","1112","0"
"Northumberland","1112","0"
"Nottinghamshire","1112","0"
"Plymouth UA","1112","0"
"Richmond upon Thames","1112","0"
"Southampton UA","1112","0"
"Wiltshire","1112","0"
"Wolverhampton","1112","0"
"Worcestershire","1112","0"
"Kent","1213","760"
"Hampshire","1213","505"
"Newham","1213","410"
"Sheffield","1213","405"
"Essex","1213","350"
"Staffordshire","1213","345"
"East Sussex","1213","325"
"Birmingham","1213","305"
"Luton","1213","245"
"Bolton","1213","215"
"Bury","1213","195"
"Gloucestershire","1213","195"
"Tameside","1213","195"
"Solihull","1213","185"
"North Somerset","1213","170"
"Durham","1213","160"
"Northamptonshire","1213","155"
"Liverpool","1213","150"
"Norfolk","1213","145"
"Surrey","1213","145"
"Derbyshire","1213","140"
"Leicester","1213","140"
"Poole","1213","140"
"Nottingham","1213","135"
"Somerset","1213","135"
"Suffolk","1213","135"
"Kingston upon Hull","1213","130"
"Blackburn with Darwen","1213","110"
"Lancashire","1213","100"
"Warwickshire","1213","100"
"Sunderland","1213","95"
"Buckinghamshire","1213","90"
"Hertfordshire","1213","90"
"Salford","1213","85"
"Wakefield","1213","85"
"Warrington","1213","85"
"Camden","1213","80"
"Greenwich","1213","80"
"Islington","1213","80"
"South Tyneside","1213","80"
"Barnsley","1213","70"
"Ealing","1213","70"
"Lincolnshire","1213","70"
"Redcar and Cleveland","1213","70"
"Stockton-on-Tees","1213","70"
"Wigan","1213","70"
"Dorset","1213","65"
"Hackney","1213","65"
"Leicestershire","1213","65"
"Doncaster","1213","60"
"Middlesbrough","1213","60"
"North Lincolnshire","1213","60"
"Peterborough","1213","60"
"Havering","1213","55"
"Kirklees","1213","55"
"Redbridge","1213","55"
"Rotherham","1213","55"
"Manchester","1213","50"
"Medway Towns","1213","50"
"North Tyneside","1213","50"
"Southwark","1213","50"
"St. Helens","1213","50"
"Stockport","1213","50"
"Telford and the Wrekin","1213","50"
"Torbay","1213","50"
"Windsor and Maidenhead","1213","50"
"Bradford","1213","45"
"Gateshead","1213","45"
"Newcastle upon Tyne","1213","45"
"Trafford","1213","45"
"Bristol","1213","40"
"Cheshire East","1213","40"
"North Yorkshire","1213","40"
"Portsmouth","1213","40"
"Sefton","1213","40"
"Shropshire","1213","40"
"Swindon","1213","40"
"Westminster","1213","40"
"Wirral","1213","40"
"Barnet","1213","35"
"Blackpool","1213","35"
"Cheshire West and Chester","1213","35"
"Brighton and Hove","1213","30"
"Cambridgeshire","1213","30"
"Cumbria","1213","30"
"Enfield","1213","30"
"Hounslow","1213","30"
"Cornwall","1213","25"
"Darlington","1213","25"
"Isle of Wight","1213","25"
"Kingston upon Thames","1213","25"
"Knowsley","1213","25"
"Leeds","1213","25"
"West Sussex","1213","25"
"Barking and Dagenham","1213","20"
"Halton","1213","20"
"Oxfordshire","1213","20"
"South Gloucestershire","1213","20"
"Bath and North East Somerset","1213","15"
"Bournemouth","1213","15"
"Coventry","1213","15"
"Derby","1213","15"
"Harrow","1213","15"
"Reading","1213","15"
"Rochdale","1213","15"
"Sandwell","1213","15"
"Tower Hamlets","1213","15"
"West Berkshire","1213","15"
"Bexley","1213","10"
"Croydon","1213","10"
"Dudley","1213","10"
"Haringey","1213","10"
"Hillingdon","1213","10"
"North East Lincolnshire","1213","10"
"Southend-on-Sea","1213","10"
"Bracknell Forest","1213","5"
"Calderdale","1213","5"
"East Riding of Yorkshire","1213","5"
"Lewisham","1213","5"
"Merton","1213","5"
"Milton Keynes","1213","5"
"Slough","1213","5"
"Stoke-on-Trent","1213","5"
"Waltham Forest","1213","5"
"Wokingham","1213","5"
"York","1213","5"
"Bedford","1213","0"
"Brent","1213","0"
"Bromley","1213","0"
"Central Bedfordshire","1213","0"
"City of London","1213","0"
"Devon","1213","0"
"Hammersmith and Fulham","1213","0"
"Hartlepool","1213","0"
"Herefordshire","1213","0"
"Isles of Scilly","1213","0"
"Kensington and Chelsea","1213","0"
"Lambeth","1213","0"
"Northumberland","1213","0"
"Nottinghamshire","1213","0"
"Oldham","1213","0"
"Plymouth","1213","0"
"Richmond upon Thames","1213","0"
"Rutland","1213","0"
"Southampton","1213","0"
"Sutton","1213","0"
"Thurrock","1213","0"
"Walsall","1213","0"
"Wandsworth","1213","0"
"Wiltshire","1213","0"
"Wolverhampton","1213","0"
"Worcestershire","1213","0"
"Kent","1314","350"
"Birmingham","1314","330"
"Staffordshire","1314","300"
"Sheffield","1314","295"
"Kirklees","1314","270"
"Liverpool","1314","270"
"Bexley","1314","265"
"Suffolk","1314","250"
"Bolton","1314","245"
"East Sussex","1314","245"
"Essex","1314","220"
"Northamptonshire","1314","215"
"Stoke-on-Trent","1314","185"
"Bury","1314","175"
"Surrey","1314","170"
"Durham","1314","165"
"Gloucestershire","1314","165"
"Manchester","1314","165"
"Kingston upon Hull","1314","160"
"Newham","1314","160"
"Solihull","1314","160"
"Derbyshire","1314","145"
"Leicester","1314","145"
"Norfolk","1314","135"
"Tameside","1314","135"
"Hampshire","1314","130"
"Isle of Wight","1314","130"
"Nottingham","1314","130"
"Blackburn with Darwen","1314","125"
"Lincolnshire","1314","125"
"Windsor and Maidenhead","1314","125"
"Islington","1314","120"
"Luton","1314","120"
"Poole","1314","120"
"Hertfordshire","1314","115"
"Havering","1314","110"
"Trafford","1314","110"
"Ealing","1314","105"
"Barnet","1314","95"
"Redbridge","1314","95"
"Sunderland","1314","95"
"Westminster","1314","95"
"Kensington and Chelsea","1314","90"
"Somerset","1314","90"
"Warrington","1314","90"
"Sefton","1314","85"
"Warwickshire","1314","85"
"Southwark","1314","75"
"Telford and the Wrekin","1314","75"
"Barnsley","1314","70"
"Bristol","1314","70"
"Camden","1314","70"
"North Tyneside","1314","70"
"Stockton-on-Tees","1314","70"
"Salford","1314","65"
"Bradford","1314","60"
"Cheshire West and Chester","1314","60"
"Gateshead","1314","60"
"North Yorkshire","1314","60"
"Leicestershire","1314","55"
"Shropshire","1314","55"
"Wakefield","1314","55"
"Brighton and Hove","1314","50"
"Croydon","1314","50"
"Doncaster","1314","50"
"Greenwich","1314","50"
"Portsmouth","1314","50"
"Rotherham","1314","50"
"Blackpool","1314","45"
"Middlesbrough","1314","45"
"St. Helens","1314","45"
"Wirral","1314","45"
"Cambridgeshire","1314","40"
"Lancashire","1314","40"
"Newcastle upon Tyne","1314","40"
"Peterborough","1314","40"
"Redcar and Cleveland","1314","40"
"South Gloucestershire","1314","40"
"Torbay","1314","40"
"Dorset","1314","35"
"Hackney","1314","35"
"North Lincolnshire","1314","35"
"Swindon","1314","35"
"Wigan","1314","35"
"Barking and Dagenham","1314","30"
"Cheshire East","1314","30"
"Darlington","1314","30"
"Hammersmith and Fulham","1314","30"
"Harrow","1314","30"
"Knowsley","1314","30"
"Bath and North East Somerset","1314","25"
"Cumbria","1314","25"
"Kingston upon Thames","1314","25"
"Reading","1314","25"
"Stockport","1314","25"
"West Berkshire","1314","25"
"Bournemouth","1314","20"
"Buckinghamshire","1314","20"
"Dudley","1314","20"
"Halton","1314","20"
"Hounslow","1314","20"
"Leeds","1314","20"
"North Somerset","1314","20"
"South Tyneside","1314","20"
"Walsall","1314","20"
"Calderdale","1314","15"
"Coventry","1314","15"
"Derby","1314","15"
"Enfield","1314","15"
"Hillingdon","1314","15"
"Lewisham","1314","15"
"Milton Keynes","1314","15"
"Sandwell","1314","15"
"Tower Hamlets","1314","15"
"York","1314","15"
"Bracknell Forest","1314","10"
"Oxfordshire","1314","10"
"Rochdale","1314","10"
"City of London","1314","5"
"Medway Towns","1314","5"
"North East Lincolnshire","1314","5"
"Rutland","1314","5"
"Slough","1314","5"
"Southend-on-Sea","1314","5"
"Waltham Forest","1314","5"
"West Sussex","1314","5"
"Wokingham","1314","5"
"Bedford","1314","0"
"Brent","1314","0"
"Bromley","1314","0"
"Central Bedfordshire","1314","0"
"Cornwall","1314","0"
"Devon","1314","0"
"East Riding of Yorkshire","1314","0"
"Haringey","1314","0"
"Hartlepool","1314","0"
"Herefordshire","1314","0"
"Isles of Scilly","1314","0"
"Lambeth","1314","0"
"Merton","1314","0"
"Northumberland","1314","0"
"Nottinghamshire","1314","0"
"Oldham","1314","0"
"Plymouth","1314","0"
"Richmond upon Thames","1314","0"
"Southampton","1314","0"
"Sutton","1314","0"
"Thurrock","1314","0"
"Wandsworth","1314","0"
"Wiltshire","1314","0"
"Wolverhampton","1314","0"
"Worcestershire","1314","0"
